"STT","Mã sản phẩm","CODE","Tên sản phẩm","Đơn vị tính","Số lượng","Giá vốn"
"207","36049","","Đai khởi thủy Đạt Hòa 76/27","Cái"," "
"208","36050","","Đai khởi thủy Đạt Hòa 76/34","Cái"," "
"209","36051","","Đai khởi thủy Đạt Hòa 90/27","Cái"," "
"210","36052","","Đai khởi thủy Đạt Hòa 90/42","Cái"," "
"211","36053","","Đai khởi thủy Đạt Hòa 114/27","Cái"," "
"212","36054","","Đai khởi thủy Đạt Hòa 114/34","Cái"," "
"213","36055","","Đai khởi thủy Đạt Hòa 114/42","Cái"," "
"214","36056","","Đai khởi thủy Đạt Hòa 114/49","Cái"," "
"215","36057","","Đai khởi thủy Đạt Hòa 168/60","Cái"," "
"216","36058","","Đai khởi thủy Đạt Hòa 220/60","Cái"," "
"217","36059","","Khớp nối Đạt Hòa 60","Cái"," "
"218","36060","","Khớp nối Đạt Hòa 90","Cái"," "
"219","36061","","Khớp nối Đạt Hòa 110","Cái"," "
"220","36062","","Khớp nối Đạt Hòa 114","Cái"," "
"221","36063","","Khớp nối Đạt Hòa 160","Cái"," "
"222","36064","","Khớp nối Đạt Hòa 168","Cái"," "
"223","36065","","Khớp nối Đạt Hòa 180","Cái"," "
"224","36066","","Khớp nối Đạt Hòa 200","Cái"," "
"225","36067","","Khớp nối Đạt Hòa 220","Cái"," "
"226","36068","","Khớp nối Đạt Hòa 250","Cái"," "
"227","36069","","Khớp nối Đạt Hòa 315","Cái"," "
"228","36070","","Khớp nối Đạt Hòa 400","Cái"," "
"229","36071","","Racco Đạt Hòa 27","Cái"," "
"230","36072","","Racco Đạt Hòa 34","Cái"," "
